domain,type,2nd type,3rd type,Source Notes (things to know?)
usasnich.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
usasupreme.com,fake, ,,
usatoday.com.co,fake,,,
usatodaynews.me,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
usatwentyfour.com,fake,,,
usconservativetoday.com,fake,,,
usfanzone.com,fake,bias,,
ushealthyadvisor.com,fake,conspiracy,junksci,
ushealthylife.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
usinfonews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
uspoliticslive.com,fake,bias,conspiracy,
uspoln.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
uspostman.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
vigilantcitizen.com,fake,conspiracy,,
viralactions.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
viralliberty.com,fake,bias,clickbait,
voxtribune.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
washingtonfed.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
washingtonpost.com.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
webdaily.com,fake,conspiracy,bias,
weeklyworldnews.com,fake,rumor,clickbait,pretty well known tabloid/fake news source
worldpoliticsus.com,fake,,,website down
worldrumor.com,fake,,,no longer being updated?
worldstoriestoday.com,fake,,,no longer being updated?
wtoe5news.com,fake,satire,,https://web.archive.org/web/20161115024211/http://wtoe5news.com/us-election/pope-francis-shocks-world-endorses-donald-trump-for-president-releases-statement/
yesimright.com,fake,bias,,
yourfunpage.com,fake,,,mostly links to rando YT videos
worldpoliticsnow.com,fake ,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
FarmWars.info,fake news,conspiracy,,"Much of the site is focused on anti-GMO conspiracies, with political conspiracies coming in as a close second. There are some apparent attempts to source some wild claims, but the use of unstable URLs-- intentionally or otherwise-- thwarts this."
dailyleak.org,satire,fake,,
christiantimesnewspaper.com,rumor,bias,fake,https://www.nytimes.com/2017/01/18/us/fake-news-hillary-clinton-cameron-harris.html?_r=1&mtrref=t.co&gwh=1CC9755BA757D7782D8A46A6F6FBF22E&gwt=pay
magafeed.com,rumor,bias,fake,"""god/emperor"" category for trump"
abriluno.com,satire,fake,,
actualidadpanamericana.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
bigamericannews.com,satire,fake,,
bostontribune.com,satire,fake,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
creambmp.com,satire,fake,,
dailysnark.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
elkoshary.com,satire,,,About Me notes that it's not fake/satirical news
elmundotoday.com,satire,,,About Me notes that it's not fake/satirical news
empiresports.co,satire,,,About Me notes that it's not fake/satirical news
empiresports.co,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
liberaldarkness.com,satire,fake,,
nationalreport.net,satire,fake,,
newsmutiny.com,satire,fake,,
politicops.com,satire,fake,,redirects to Newslo
politicot.com,satire,fake,,redirects to Newslo
religionlo.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
therightists.com,satire, ,,publishes both biased and fake content
theseattletribune.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
theuspatriot.com,satire,fake,,
bvanews.com,unreliable,bias,fake,seems like a combination of totally fake and unreliable reports of 'real' news
jewsnews.co.il,unreliable,bias,fake,
usviewer.com,unreliable,fake, ,"basically copy/pastes parts of actual reuters stories, no authors listed or publication info"
